Name,Team,Pos,FanGraphs ID,BRef ID,MLBID,Manager,Rd
Brandon Lowe,TBR,2B,18882,lowebr01,664040,Andrew,9
Brent Rooker,OAK,OF/DH,19627,rookebr01,667670,Jeff,12
Andrew Benintendi,CHW,OF,17901,beninan01,643217,Paula,12
Jarren Duran,BOS,OF,24617,duranja01,680776,John,14
Kerry Carpenter,DET,OF/DH,25961,carpeke01,681481,Ron,10
Mitch Garver,SEA,C/DH,15161,garvemi01,641598,Rich,12
Zach Neto,LAA,SS,31347,netoza01,687263,Rich,15
Justin Turner,TOR,1B/DH,5235,turneju01,457759,Jeff,4
Maikel Garcia,KCR,3B,22715,garcima01,672580,Ron,12
Giancarlo Stanton,NYY,OF/DH,4949,stantmi03,519317,Scott,6
Ryan Noda,OAK,1B,23312,nodary01,676116,Andrew,15
Edouard Julien,MIN,2B/DH,27534,julieed01,666397,Paula,10
Josh Lowe,TBR,OF/DH,19953,lowejo01,666139,John,10
Chas McCormick,HOU,OF,19599,mccorch01,676801,Justin,9
Ceddanne Rafaela,BOS,OF,24262,rafaece01,678882,Scott,17
Austin Hays,BAL,OF,19363,haysau01,669720,Andrew,10
Parker Meadows,DET,OF,23800,meadopa01,678009,Justin,17
DJ LeMahieu,NYY,1B/3B,9874,lemahdj01,518934,Rich,18
Logan O'Hoppe,LAA,C,24729,ohopplo01,681351,Myron,8
Ramón Laureano,CLE,OF,17128,laurera01,657656,Andrew,17
Luis Rengifo,LAA,2B/3B/SS/OF,19858,rengilu01,650859,Rich,10
Leody Taveras,TEX,OF,18900,taverle01,665750,Andrew,11
Jose Siri,TBR,OF,17452,sirijo01,642350,Andrew,12
Yainer Diaz,HOU,C/DH,23003,diazya02,673237,Jeff,7
Mitch Haniger,SEA,OF,14274,hanigmi01,571745,Jeff,15
Mark Canha,DET,OF/DH,11445,canhama01,592192,Paula,16
Seth Brown,OAK,OF,18171,brownse01,664913,Ron,19
Jonah Heim,TEX,C,16930,heimjo01,641680,John,6
Javier Báez,DET,SS,12979,baezja01,595879,Ron,16
Nolan Schanuel,LAA,1B,33189,schanno01,694384,Andrew,18
Alex Verdugo,NYY,OF,17027,verdual01,657077,Scott,7
Aaron Hicks,LAA,OF,5297,hicksaa01,543305,Myron,23
J.D. Davis,OAK,3B,16219,davisjd01,605204,Jeff,8
Esteury Ruiz,OAK,OF,21780,ruizes01,665923,Paula,18
Vaughn Grissom,BOS,SS,26031,grissva01,687093,Scott,19
JJ Bleday,OAK,OF,26368,bledajj01,668709,Justin,20
Colt Keith,DET,#N/A,27899,keithco01,690993,Evans,15
Mickey Moniak,LAA,OF,19956,moniami01,666160,Rich,23
Carlos Santana,MIN,1B,2396,santaca01,467793,Paula,5
Ryan O'Hearn,BAL,1B/OF,16442,ohearry01,656811,John,18
Hunter Renfroe,KCR,OF,15464,renfrhu01,592669,Myron,12
Kyle Isbel,KCR,OF,21614,isbelky01,664728,Ron,25
Jackson Holliday,BAL,#N/A,sa3020241,hollija01,702616,Evans,17
Matt Wallner,MIN,OF,26466,wallnma01,670242,Rich,19
Jordan Westburg,BAL,2B/3B,27815,westbjo01,676059,Scott,13
Willi Castro,MIN,3B/OF,17338,castrwi01,650489,Jeff,23
Luke Raley,SEA,1B/OF,19354,raleylu01,670042,Ron,18
Davis Schneider,TOR,2B/DH,23565,schneda03,676914,Justin,18
Alex Kirilloff,MIN,1B/OF,20325,kirilal01,666135,Myron,21
Alejandro Kirk,TOR,C,22581,kirkal01,672386,Andrew,21
Isiah Kiner-Falefa,TOR,3B/OF,16512,kineris01,643396,Paula,19
Bo Naylor,CLE,C,21865,naylobo01,666310,Justin,11
Kevin Kiermaier,TOR,OF,11038,kiermke01,595281,Jeff,21
Shea Langeliers,OAK,C,25816,langesh01,669127,Scott,14
Nelson Velázquez,KCR,OF/DH,23359,velazne01,676369,Justin,19
Brayan Rocchio,CLE,3B/SS,23690,rocchbr01,677587,Ron,24
Matt Vierling,DET,3B/OF,21558,vierlma01,663837,Paula,21
Dominic Canzone,SEA,OF/DH,26438,canzodo01,686527,Andrew,25
Amed Rosario,TBR,2B/SS,15518,rosaram01,642708,Scott,15
Jake Meyers,HOU,OF,20308,meyerja02,676694,Jeff,24
Ryan Jeffers,MIN,C,24618,jeffery01,680777,Scott,23
Cavan Biggio,TOR,1B/2B/OF,19252,biggica01,624415,John,17
Dominic Fletcher,CHW,OF,26149,fletcdo01,666150,Myron,25
Tyler Freeman,CLE,2B/3B,22532,freemty01,671289,Jeff,19
Austin Wells,NYY,C,27562,wellsau01,669224,Evans,16
Jake Rogers,DET,C,19452,rogerja03,668670,Evans,24
Adam Frazier,KCR,2B,15223,fraziad01,624428,Scott,20
Will Brennan,CLE,OF,25660,brennwi02,686823,Ron,20
Gio Urshela,DET,1B/3B,10681,urshegi01,570482,Myron,17
Nicky Lopez,CHW,2B/3B,19339,lopezni01,670032,Paula,25
Paul DeJong,CHW,SS,18015,dejonpa01,657557,John,23
José Caballero,TBR,2B/SS,23401,cabaljo01,676609,Jeff,25
Connor Wong,BOS,C,19896,wongco01,657136,Ron,26
Jose Trevino,NYY,C,16725,trevijo01,624431,Paula,24
Harold Ramírez,TBR,DH,14387,ramirha02,623912,John,15
Trent Grisham,NYY,OF,18564,grishtr01,663757,Myron,22
Colton Cowser,BAL,OF,29591,cowseco01,681297,Ron,23
Ezequiel Duran,TEX,3B/SS/OF/DH,23733,duranez01,677649,John,24
Kyle Farmer,MIN,2B/3B/SS,14813,farmeky01,571657,Jeff,17
Jon Berti,NYY,3B/SS,12037,bertijo01,542932,Evans,22
Joey Votto,TOR,1B/DH,4314,vottojo01,458015,Myron,24
Junior Caminero,TBR,3B/SS/DH,28163,caminju01,691406,Scott,18
Jorge Mateo,BAL,SS,17273,mateojo01,622761,Myron,26
David Fry,CLE,C/1B,24934,fryda01,681807,Myron,14
Jasson Domínguez,NYY,OF,28080,dominja01,691176,Evans,25
Oswaldo Cabrera,NYY,OF,21707,cabreos01,665828,Evans,21
Chase DeLauter,CLE,#N/A,sa3021053,delauch01,800050,Rich,25
Mauricio Dubón,HOU,2B/OF,16530,dubonma01,643289,Andrew,25
Anthony Rendon,LAA,3B,12861,rendonan01,543685,Rich,
Kyle Manzardo,CLE,#N/A,sa3017342,manzaky01,700932,Scott,
Danny Jansen,TOR,C,16535,jansenda01,643376,Evans,
Jasson Dominguez,NYY,OF,28080,dominja01,Evans,25
