Name,Team,Pos,MLBID,FanGraphs ID,BRef ID,Manager,Rd
Jose Miranda,MIN,1B/3B/DH,669304,20538,miranjo01,Andrew,12
Adley Rutschman,BAL,C/DH,668939,26288,rutscad01,Ron,6
Riley Greene,DET,OF,682985,25976,greenri03,Scott,7
MJ Melendez,KCR,C/OF/DH,669004,22197,melenmj01,Myron,5
Masataka Yoshida,BOS,OF,807799,31837,yoshima02,Scott,8
Justin Turner,BOS,3B/DH,457759,5235,turneju01,Ron,8
Austin Hays,BAL,OF,669720,19363,haysau01,Rich,9
Andrew Benintendi,CHW,OF,643217,17901,beninan01,John,9
Ramon Laureano,OAK,OF,657656,17128,laurera01,Justin,12
Whit Merrifield,TOR,2B/OF,593160,11281,merriwh01,Jeff,10
Yoan Moncada,CHW,3B,660162,17232,moncayo01,Andrew,14
Anthony Rendon,LAA,3B,543685,12861,rendoan01,Evans,16
Brandon Drury,LAA,1B/2B/3B/DH,592273,11615,drurybr01,Paula,3
Seth Brown,OAK,1B/OF,664913,18171,brownse01,Jeff,12
Enrique Hernandez,BOS,OF,571771,10472,hernaen02,Ron,11
Oscar Gonzalez,CLE,OF,660757,20970,gonzaos01,Justin,13
Triston Casas,BOS,1B,671213,22514,casastr01,Evans,10
Alejandro Kirk,TOR,C/DH,672386,22581,kirkal01,Rich,10
Jose Altuve,HOU,2B,514888,5417,altuvjo01,Ron,22
Kolten Wong,SEA,2B,543939,12532,wongko01,Ron,10
Harrison Bader,NYY,OF,664056,18030,baderha01,Andrew,22
Max Kepler,MIN,OF,596146,12144,keplema01,Justin,14
Josh Jung,TEX,3B,673962,26299,jungjo01,Scott,13
Manuel Margot,TBR,OF,622534,14712,margoma01,Andrew,15
Austin Meadows,DET,OF,640457,15672,meadoau01,John,13
Spencer Torkelson,DET,1B,679529,27465,torkesp01,Justin,17
DJ LeMahieu,NYY,1B/2B/3B,518934,9874,lemahdj01,Paula,7
Joey Gallo,MIN,OF,608336,14128,gallojo01,Ron,12
J.P. Crawford,SEA,SS,641487,15491,crawfjp01,Ron,15
Jonathan Schoop,DET,2B,570731,11265,schoojo01,Andrew,13
Cal Raleigh,SEA,C,663728,21534,raleica01,Justin,10
Adam Duvall,BOS,OF,594807,10950,duvalad01,Evans,15
Elvis Andrus,CHW,SS,462101,8709,andruel01,Myron,17
Isaac Paredes,TBR,1B/2B/3B,670623,20036,paredis01,Andrew,17
Jared Walsh,LAA,1B,665120,18607,walshja01,Myron,15
Chas McCormick,HOU,OF,676801,19599,mccorch01,Paula,12
Danny Jansen,TOR,C,643376,16535,janseda01,Evans,19
Jose Siri,TBR,OF,642350,17452,sirijo01,Jeff,13
Jarred Kelenic,SEA,OF,672284,22558,kelenja01,Scott,14
Tony Kemp,OAK,2B/OF,643393,14894,kempto01,John,16
Oscar Colas,CHW,OF,693049,sa3018099,colasos01,Rich,17
Gio Urshela,LAA,3B,570482,10681,urshegi01,Scott,18
Harold Ramirez,TBR,1B/OF/DH,623912,14387,ramirha02,Jeff,15
Josh Donaldson,NYY,3B/DH,518626,5038,donaljo02,Evans,13
Alex Kirilloff,MIN,1B/OF,666135,20325,kirilal01,Justin,18
Myles Straw,CLE,OF,664702,17620,strawmy01,Justin,20
Shea Langeliers,OAK,C/DH,669127,25816,langesh01,Myron,14
Hunter Dozier,KCR,1B/3B/OF/DH,641531,15117,doziehu01,Andrew,18
Adam Frazier,BAL,2B/OF,624428,15223,fraziad01,Myron,19
Aledmys Diaz,OAK,2B/OF,649557,15937,diazal02,Ron,19
Jesus Aguilar,OAK,1B/DH,542583,11342,aguilje01,Ron,14
Oswaldo Cabrera,NYY,OF,665828,21707,cabreos01,Evans,18
Luis Rengifo,LAA,2B/3B,650859,19858,rengilu01,Justin,19
Brandon Belt,TOR,1B,474832,10264,beltbr01,Myron,18
AJ Pollock,SEA,OF,572041,9256,polloaj01,Ron,18
Esteury Ruiz,OAK,OF,665923,21780,ruizes01,Rich,18
Nick Gordon,MIN,2B/OF,624503,16337,gordoni01,Rich,19
Michael Brantley,HOU,OF/DH,488726,4106,brantmi02,Rich,14
Leody Taveras,TEX,OF,665750,18900,taverle01,Jeff,19
Kyle Isbel,KCR,OF,664728,21614,isbelky01,Paula,23
Adalberto Mondesi,BOS,SS,609275,13769,mondera02,Evans,24
Michael Massey,KCR,2B,686681,27684,massemi02,Justin,23
Kerry Carpenter,DET,OF/DH,681481,25961,carpeke01,Rich,21
Jonah Heim,TEX,C,641680,16930,heimjo01,Andrew,21
Santiago Espinal,TOR,2B,669289,19997,espinsa01,Paula,18
Jorge Mateo,BAL,SS,622761,17273,mateojo01,Myron,16
Ramon Urias,BAL,2B/3B,602104,18795,uriasra01,Scott,17
Mitch Garver,TEX,C/DH,641598,15161,garvemi01,Jeff,24
Robbie Grossman,TEX,OF,543257,5254,grossro01,Andrew,19
Akil Baddoo,DET,OF,668731,22168,baddoak01,Justin,24
Kevin Kiermaier,TOR,OF,595281,11038,kiermke01,John,19
Jace Peterson,OAK,3B,607054,12325,peterja01,John,24
Edward Olivares,KCR,OF,658668,19698,olivaed02,Paula,24
Anthony Volpe,NYY,SS,683011,sa3010868,volpean01,Evans,14
Eric Haase,DET,C,606992,14111,haaseer01,Scott,16
Kyle Stowers,BAL,OF,669065,26151,stoweky01,Scott,21
Christian Vazquez,MIN,C,543877,9774,vazquch01,John,23
Aaron Hicks,NYY,OF,543305,5297,hicksaa01,Paula,21
Yasmani Grandal,CHW,C/DH,518735,11368,grandya01,John,10
Mike Zunino,CLE,C,572287,13265,zuninmi01,Myron,23
Matt Vierling,DET,OF,663837,21558,vierlma01,Paula,20
Nick Maton,DET,2B/OF,665155,21635,matonni01,Rich,20
Christian Arroyo,BOS,2B,624414,16434,arroych01,John,20
Jose Trevino,NYY,C,624431,16725,trevijo01,Jeff,17
Gavin Sheets,CHW,OF,657757,19901,sheetga01,Ron,20
Michael A. Taylor,MIN,OF,572191,11489,taylomi02,Paula,17
Oswald Peraza,NYY,2B/SS,672724,22823,perazos02,Evans,17
Logan O'Hoppe,LAA,C,681351,24729,ohopplo01,Rich,23
Martin Maldonado,HOU,C,455117,6887,maldoma01,Paula,16
Franmil Reyes,KCR,DH,614177,14566,reyesfr01,Myron,20
Christian Bethancourt,TBR,C/1B,542194,10028,bethach01,Myron,24
Miguel Cabrera,DET,DH,408234,1744,cabremi01,John,21
Kyle Farmer,MIN,3B/SS,571657,14813,farmeky01,Jeff,18
Cavan Biggio,TOR,1B/2B,624415,19252,biggica01,Evans,23
Max Stassi,LAA,C,545358,10059,stassma01,Paula,26
David Hensley,HOU,2B/DH,682073,25111,henslda01,Scott,25
Reese McGuire,BOS,C,624512,15674,mcguire01,Jeff,26
Isiah Kiner-Falefa,NYY,SS,643396,16512,kineris01,Ron,23
Cesar Hernandez,DET,2B,514917,10556,hernace02,Scott,19
Bubba Thompson,TEX,OF,669352,22261,thompbu01,Jeff,20
Ryan Noda,OAK,1B/OF,676116,sa873960,nodary01,Myron,25
Raimel Tapia,BOS,OF,606132,14350,tapiara01,Scott,22
